id,auto_doc_no,order_no,order_date,customer_name,product_name,weight_label,sale_qty,total_weight_grams,sales_key,inventory_issue_code,inventory_code,inventory_name,issue_factor,issue_qty,inventory_unit,suggested_lot_code,suggested_exp_date,suggested_lot_qty_before,suggested_lot_cumulative_auto,consumed_lot_code,consumed_lot_barcode,lot_qty_before,lot_qty_after,fefo_check,status,source_row
8ec9bb22-139a-53dc-abbb-04e1b4f49d98,AUTO-0022,DH0005,2026-03-17,Mẹ Bột - Chung cư City Garden,Cốt lết mè rang,200g,1,200,Cốt lết mè rang | 200g,TP005,TP005,Cốt lết mè rang,1,1,phần/gói,,,,,,,,,,CHỌN/TÁCH LÔ,24
75967602-32cf-51c5-a340-5a99f7c0f9a5,AUTO-0023,DH0005,2026-03-17,Mẹ Bột - Chung cư City Garden,Nạc heo sả nghệ,200g,1,200,Nạc heo sả nghệ | 200g,TP007,TP007,Nạc heo sả nghệ,1,1,phần/gói,,,,,,,,,,CHỌN/TÁCH LÔ,25
858e1803-c210-53d0-bbd8-54eeadcfa22c,AUTO-0024,DH0006,2026-03-17,Yến Q7,Ức gà cajun,150g,1,150,Ức gà cajun | 150g,TP001,TP001,Ức gà cajun,1,1,phần/gói,,,,,,,,,,CHỌN/TÁCH LÔ,26
fd3da725-def6-55c4-8267-38cff48a0266,AUTO-0025,DH0006,2026-03-17,Yến Q7,Ức gà ngũ vị,150g,1,150,Ức gà ngũ vị | 150g,TP002,TP002,Ức gà ngũ vị,1,1,phần/gói,,,,,,,,,,CHỌN/TÁCH LÔ,27
7f72f085-fdcd-5f62-b01d-ad31906876b5,AUTO-0026,DH0006,2026-03-17,Yến Q7,Ứ́c gà gừng tỏi,150g,1,150,Ứ́c gà gừng tỏi | 150g,TP003,TP003,Ứ́c gà gừng tỏi,1,1,phần/gói,,,,,,,,,,CHỌN/TÁCH LÔ,28
feab0d3f-3e22-5db3-8113-f420c37cba76,AUTO-0027,DH0006,2026-03-17,Yến Q7,Ức gà̀ cà ri,150g,1,150,Ức gà̀ cà ri | 150g,TP004,TP004,Ức gà̀ cà ri,1,1,phần/gói,,,,,,,,,,CHỌN/TÁCH LÔ,29
3cdeedf0-d28c-5e95-82b8-cc96f75d07dd,AUTO-0028,DH0006,2026-03-17,Yến Q7,Cốt lết mè rang,150g,1,150,Cốt lết mè rang | 150g,TP005,TP005,Cốt lết mè rang,1,1,phần/gói,,,,,,,,,,CHỌN/TÁCH LÔ,30
02fee16b-d1fc-5ac9-9966-cb8002328022,AUTO-0029,DH0006,2026-03-17,Yến Q7,Cốt lết gừng tỏi,150g,1,150,Cốt lết gừng tỏi | 150g,TP006,TP006,Cốt lết gừng tỏi,1,1,phần/gói,,,,,,,,,,CHỌN/TÁCH LÔ,31
462fa997-78dc-55f6-b22d-282340f2898e,AUTO-0030,DH0006,2026-03-17,Yến Q7,Nạc heo sả nghệ,150g,1,150,Nạc heo sả nghệ | 150g,TP007,TP007,Nạc heo sả nghệ,1,1,phần/gói,,,,,,,,,,CHỌN/TÁCH LÔ,32
d5ccd416-a40b-5bb9-af5e-9334d8882525,AUTO-0031,DH0006,2026-03-17,Yến Q7,Nạ̣c heo ngũ vị,150g,1,150,Nạ̣c heo ngũ vị | 150g,TP008,TP008,Nạ̣c heo ngũ vị,1,1,phần/gói,,,,,,,,,,CHỌN/TÁCH LÔ,33
